epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.7751,2.99184,3.13284,2.6662,0.03367,0.66887,0.10003,0.01845,2.99894,2.94786,2.60332,0.000555556,0.000555556,0.000555556
2,32.6911,2.59495,2.97165,2.29003,0.04467,0.88742,0.16561,0.03785,2.5338,2.85129,2.1697,0.00121012,0.00121012,0.00121012
3,48.6722,2.41452,2.78144,2.18609,0.04467,0.88742,0.16561,0.03785,2.5338,2.85129,2.1697,0.00185149,0.00185149,0.00185149
4,64.4428,2.27171,2.67711,2.07521,0.03833,0.76159,0.10056,0.02546,2.74241,3.02553,2.56036,0.0019406,0.0019406,0.0019406
5,80.2046,2.18597,2.46026,1.98672,0.06894,0.19868,0.08192,0.02005,2.81015,3.16139,2.8278,0.0019208,0.0019208,0.0019208
6,95.783,2.16229,2.48319,1.96095,0.02033,0.40397,0.00871,0.00149,3.21807,3.61074,3.942,0.001901,0.001901,0.001901
7,111.564,2.19602,2.38962,2.04699,0.02033,0.40397,0.00871,0.00149,3.21807,3.61074,3.942,0.0018812,0.0018812,0.0018812
8,127.271,2.04986,2.29905,1.92545,0.04493,0.11258,0.01497,0.00198,3.22121,5.7571,2.80747,0.0018614,0.0018614,0.0018614
9,142.967,2.12429,2.32801,1.9845,0.06034,0.39735,0.05306,0.00614,2.82064,7.39298,2.82912,0.0018416,0.0018416,0.0018416
10,158.707,2.02655,2.30815,1.88564,0.09742,0.2053,0.08411,0.01397,2.548,5.0978,2.48002,0.0018218,0.0018218,0.0018218
11,174.632,1.91033,2.17995,1.85579,0.09742,0.2053,0.08411,0.01397,2.548,5.0978,2.48002,0.001802,0.001802,0.001802
12,190.593,1.91939,2.14129,1.8764,0.08346,0.24725,0.06768,0.01368,2.58043,4.87122,2.50246,0.0017822,0.0017822,0.0017822
13,206.394,1.91221,2.14965,1.87297,0.08062,0.19205,0.05772,0.00878,2.66696,2.9189,2.74145,0.0017624,0.0017624,0.0017624
14,222.317,2.06495,2.04802,1.96652,0.19264,0.27815,0.1319,0.02413,2.45054,3.69234,2.66039,0.0017426,0.0017426,0.0017426
15,237.94,1.98533,2.26077,1.91591,0.19264,0.27815,0.1319,0.02413,2.45054,3.69234,2.66039,0.0017228,0.0017228,0.0017228
16,253.834,1.88772,2.13185,1.87206,0.20258,0.21192,0.12161,0.02151,2.53584,3.25968,2.90976,0.001703,0.001703,0.001703
17,269.847,1.818,2.12865,1.83092,0.23466,0.31788,0.14769,0.03971,2.23943,2.80718,2.54055,0.0016832,0.0016832,0.0016832
18,285.746,1.92741,2.01604,1.88632,0.27555,0.33113,0.18619,0.05691,1.91016,2.7235,2.24461,0.0016634,0.0016634,0.0016634
19,302.211,2.0148,1.95595,1.94588,0.27555,0.33113,0.18619,0.05691,1.91016,2.7235,2.24461,0.0016436,0.0016436,0.0016436
20,318.331,2.02066,2.10424,1.94892,0.21792,0.37748,0.16351,0.048,2.02401,3.44576,2.46722,0.0016238,0.0016238,0.0016238
21,334.719,1.92423,2.0377,1.8927,0.17788,0.25828,0.107,0.0301,2.06849,3.92385,2.43406,0.001604,0.001604,0.001604
22,351.21,1.7393,2.00564,1.74048,0.24003,0.25166,0.18315,0.04829,1.91507,3.03827,2.12907,0.0015842,0.0015842,0.0015842
23,367.339,1.72093,1.96873,1.74668,0.24003,0.25166,0.18315,0.04829,1.91507,3.03827,2.12907,0.0015644,0.0015644,0.0015644
24,383.178,1.7834,2.06428,1.82344,0.309,0.43046,0.28037,0.08999,1.81449,2.49423,1.91543,0.0015446,0.0015446,0.0015446
25,399.096,1.68206,1.9634,1.75752,0.3204,0.48344,0.2996,0.09503,1.85402,2.35313,1.80861,0.0015248,0.0015248,0.0015248
26,415.138,1.81887,1.87792,1.82174,0.40124,0.42384,0.35943,0.09281,2.03692,2.40047,1.91339,0.001505,0.001505,0.001505
27,431.337,1.72875,1.89817,1.75429,0.40124,0.42384,0.35943,0.09281,2.03692,2.40047,1.91339,0.0014852,0.0014852,0.0014852
28,447.269,1.70245,1.84435,1.74911,0.47942,0.49669,0.46109,0.14562,1.84685,2.31917,1.84958,0.0014654,0.0014654,0.0014654
29,463.391,1.76547,1.8737,1.74093,0.3333,0.62905,0.40709,0.16544,1.72849,2.50422,1.80168,0.0014456,0.0014456,0.0014456
30,479.555,1.78543,2.004,1.81325,0.38605,0.5298,0.40289,0.15429,1.79074,2.36193,1.82647,0.0014258,0.0014258,0.0014258
31,495.521,1.76942,1.89654,1.77607,0.38605,0.5298,0.40289,0.15429,1.79074,2.36193,1.82647,0.001406,0.001406,0.001406
32,511.616,1.64639,1.92063,1.70944,0.35583,0.53776,0.33067,0.13091,1.80003,2.29608,1.8832,0.0013862,0.0013862,0.0013862
33,527.67,1.61663,1.86409,1.66473,0.3187,0.55629,0.29312,0.11178,1.63728,2.46386,1.82059,0.0013664,0.0013664,0.0013664
34,543.703,1.59335,1.90068,1.65781,0.32466,0.49984,0.29759,0.11518,1.6297,2.36434,1.80477,0.0013466,0.0013466,0.0013466
35,559.819,1.57919,1.84903,1.65266,0.32466,0.49984,0.29759,0.11518,1.6297,2.36434,1.80477,0.0013268,0.0013268,0.0013268
36,576.064,1.70475,1.8968,1.73948,0.35982,0.45695,0.30783,0.10524,1.9222,2.33444,2.05327,0.001307,0.001307,0.001307
