epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,19.7572,3.10447,3.20774,2.67484,0.02667,0.53886,0.12377,0.02729,3.13701,2.68183,2.21096,0.000571429,0.000571429,0.000571429
2,38.3546,2.63433,2.92675,2.22832,0.03769,0.76166,0.16899,0.04461,2.83427,2.54967,1.89745,0.00122584,0.00122584,0.00122584
3,57.0068,2.50558,2.78601,2.09687,0.05793,0.62694,0.09531,0.02344,2.81198,2.6791,2.08442,0.00186705,0.00186705,0.00186705
4,75.6187,2.41487,2.58415,2.04811,0.14749,0.18653,0.07127,0.0161,2.77922,2.92125,2.27294,0.0019406,0.0019406,0.0019406
5,94.3647,2.29414,2.4768,1.99485,0.09253,0.04663,0.02427,0.00664,2.49828,3.53316,2.34871,0.0019208,0.0019208,0.0019208
6,113.141,2.48006,2.56589,2.08826,0.13746,0.18653,0.07157,0.01608,2.49616,3.26544,2.28943,0.001901,0.001901,0.001901
7,131.78,2.20859,2.35795,1.93973,0.11868,0.31606,0.07961,0.0169,2.81068,3.00474,2.48522,0.0018812,0.0018812,0.0018812
8,150.581,2.16157,2.32465,1.93208,0.11868,0.31606,0.07961,0.0169,2.81068,3.00474,2.48522,0.0018614,0.0018614,0.0018614
9,169.172,2.20543,2.2713,1.94856,0.11136,0.25907,0.0861,0.01898,2.65551,3.00521,2.42042,0.0018416,0.0018416,0.0018416
10,188.016,2.17721,2.32205,1.92877,0.12144,0.37306,0.11071,0.02679,2.59961,4.18615,2.60741,0.0018218,0.0018218,0.0018218
11,207.279,2.02302,2.32664,1.83285,0.11506,0.45596,0.13003,0.0413,2.8059,8.23324,3.33438,0.001802,0.001802,0.001802
12,225.876,2.25702,2.31651,1.99231,0.13479,0.48187,0.14268,0.04021,2.68667,8.26155,3.02875,0.0017822,0.0017822,0.0017822
13,244.743,2.02962,2.23444,1.84023,0.11407,0.42487,0.12217,0.02436,2.70463,8.43365,3.20116,0.0017624,0.0017624,0.0017624
14,263.766,2.06146,2.21525,1.84502,0.1896,0.27461,0.1475,0.02314,2.59796,3.4245,2.48938,0.0017426,0.0017426,0.0017426
15,282.938,2.01405,2.17152,1.80564,0.33278,0.30052,0.23945,0.05453,2.37596,2.42381,2.0814,0.0017228,0.0017228,0.0017228
16,301.886,1.99129,2.12853,1.79772,0.33278,0.30052,0.23945,0.05453,2.37596,2.42381,2.0814,0.001703,0.001703,0.001703
17,321.004,1.97308,2.09422,1.78939,0.24236,0.33161,0.20433,0.05676,2.435,2.32976,2.02994,0.0016832,0.0016832,0.0016832
18,340.085,1.97153,2.06337,1.80019,0.17604,0.36788,0.14696,0.03955,2.42189,2.61548,2.1354,0.0016634,0.0016634,0.0016634
19,359.324,2.03739,2.11658,1.87611,0.24679,0.32766,0.19379,0.06572,2.14951,2.4409,1.9262,0.0016436,0.0016436,0.0016436
20,378.539,1.89028,2.00772,1.76728,0.24609,0.4456,0.1886,0.06265,2.19306,2.48438,1.97009,0.0016238,0.0016238,0.0016238
21,397.791,1.93574,2.04011,1.78922,0.27377,0.44041,0.21982,0.07955,2.11355,2.54417,1.92545,0.001604,0.001604,0.001604
22,416.737,1.89635,2.11556,1.76695,0.34776,0.38952,0.27764,0.09413,2.13766,2.42941,2.00631,0.0015842,0.0015842,0.0015842
23,436.153,1.9759,2.03013,1.82683,0.36801,0.39825,0.29893,0.09012,2.22005,2.39547,2.06145,0.0015644,0.0015644,0.0015644
24,455.261,1.89945,2.0606,1.73345,0.36801,0.39825,0.29893,0.09012,2.22005,2.39547,2.06145,0.0015446,0.0015446,0.0015446
25,474.6,1.923,2.04166,1.76401,0.40917,0.45596,0.37914,0.08472,2.39697,2.28651,2.17735,0.0015248,0.0015248,0.0015248
26,493.687,1.90443,2.06239,1.74904,0.42425,0.38342,0.37771,0.10748,2.28486,2.28917,2.06771,0.001505,0.001505,0.001505
27,512.859,1.95522,2.06031,1.75077,0.39431,0.36269,0.30374,0.09676,2.27856,2.33139,2.09404,0.0014852,0.0014852,0.0014852
28,531.865,1.74095,1.93904,1.66009,0.36178,0.41969,0.30798,0.10013,2.17928,2.21038,1.9995,0.0014654,0.0014654,0.0014654
29,550.993,1.83558,1.98981,1.72265,0.40504,0.45596,0.30886,0.10061,2.11896,2.1801,1.95475,0.0014456,0.0014456,0.0014456
30,570.259,1.68941,1.91738,1.64235,0.32921,0.45596,0.27947,0.0981,2.1474,2.22059,1.99515,0.0014258,0.0014258,0.0014258
31,589.297,1.85643,1.9621,1.74627,0.35077,0.45078,0.27789,0.10106,1.99641,2.35031,1.91614,0.001406,0.001406,0.001406
